student_id,name,past_classes,requested_classes,grad_year,major_status
S0000,Sean Boyer,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS132],2025,Non-major
S0001,Randall Jones,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S0648,Larry Wells,[CS51,CS62,CS105,CS101,CS54],[CS133,CS122],2026,CS minor
S0649,James Henry,[CS62,CS54,CS51,CS140],[CS101,CS181DV],2026,CS minor
S0650,Jacob Snyder MD,[CS140,CS51,CS62,CS105,CS54],[CS140],2028,Non-major
S0651,Roger Williams,[CS140,CS51,CS62,CS105,CS54],[CS105,CS140],2026,CS minor
S0652,Alan Smith,[CS140,CS51,CS62,CS105,CS54],[CS133],2026,CS minor
S0653,Brian Roth,[CS62,CS54,CS51,CS140],[CS105,CS133],2025,CS minor
S0654,Isaiah Harrison,[CS140,CS51,CS62,CS101,CS54],[CS133],2026,CS major
S0655,Roberto Velasquez,[],[CS122],2028,Non-major
S0656,Eric Hall,[],[CS133,CS122],2025,CS major
S0657,Jamie Summers,[CS101,CS54,CS51,CS62],[],2028,CS minor
S0658,Ryan Huang,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0659,Audrey Burton,[CS54,CS51],[CS140,CS122],2026,Non-major
S0660,James Grant,[CS51,CS62],[CS122,CS138],2026,Non-major
S0661,Alyssa Williams,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2025,Non-major
S0662,Thomas Smith,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2028,CS minor
S0663,Jessica Davis,[CS51,CS62,CS105,CS101,CS54],[CS132],2025,Non-major
S0664,Gabriella Espinoza,[CS54,CS51,CS62,CS105],[CS101],2027,Non-major
S0665,Sarah Wu,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2027,CS major
S0666,Jaclyn Andrade,[CS62,CS54,CS51,CS140],[CS133],2028,Non-major
S0667,Joanna Smith,[CS140,CS51,CS62,CS101,CS54],[CS101,CS153],2026,Non-major
S0668,Theresa Weaver,[CS140,CS51,CS62,CS105,CS54],[CS133,CS158],2027,CS major
S0669,Melissa Brown,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S0670,Samantha Taylor,[CS140,CS51,CS62,CS105,CS54],[CS101,CS122],2028,CS major
S0671,Megan Figueroa,[],[],2026,CS minor
S0672,Mark Pierce,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2028,Non-major
S0673,Jessica Vega,[CS51],[CS158,CS140],2026,Non-major
S0674,Bradley Pearson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S0675,Mark Burns,[CS62,CS54,CS51,CS140],[],2026,CS major
S0676,Timothy Hunt,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0677,Gregory Miles,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101],2028,CS major
S0678,Jessica Flores,[CS140,CS51,CS62,CS101,CS54],[CS122,CS132],2028,CS major
S0679,Linda Rowe,[CS140,CS51,CS62,CS105,CS54],[CS158],2027,Non-major
S0680,Emily Burton DVM,[CS140,CS51,CS62,CS105,CS54],[CS138,CS132],2026,CS minor
S0681,Kelsey Lynch,[],[CS122,CS101],2026,Non-major
S0682,Andrea Adams,[CS51,CS62,CS105,CS101,CS54],[CS153,CS140],2025,CS major
S0683,Margaret Griffith,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS181AA],2025,CS minor
S0684,Michael Smith,[CS140,CS51,CS62,CS105,CS54],[],2028,CS minor
S0685,Kenneth Booker,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0686,Ricardo Chapman,[CS101,CS54,CS51,CS62],[],2025,Non-major
S0687,Dennis Edwards,[CS51],[CS101,CS181DV],2026,CS major
S0688,Brenda Harmon,[],[CS158,CS132],2027,Non-major
S0689,Benjamin Campbell,[CS140,CS51,CS62,CS105,CS54],[CS122],2025,Non-major
S0690,Brandy Lopez,[CS62,CS54,CS51,CS140],[CS105],2027,CS minor
S0691,Jesus White,[CS140,CS51,CS62,CS101,CS54],[],2028,CS minor
S0692,Roberto Aguilar,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S0693,Stephanie Reeves,[CS51,CS62,CS105,CS101,CS54],[CS101],2027,CS major
S0694,Jessica Levine,[CS140,CS51,CS62,CS101,CS54],[CS181AA,CS105],2028,CS minor
S0695,Deborah Jones,[CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0696,Joshua Booker,[CS101,CS54,CS51,CS62],[],2027,CS major
S0697,Sara Vincent,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2027,Non-major
S0698,Nicholas Brock,[CS51,CS62,CS105,CS101,CS54],[CS181DV],2028,CS minor
S0699,John Hayes,[CS54,CS51,CS62,CS105],[],2025,Non-major
S0700,Travis Thomas,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0701,Mark Jones,[CS54,CS51],[CS101,CS132],2028,Non-major
S0702,Adrian Hodge,[CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0703,Brittany Jones,[CS140,CS51,CS62,CS101,CS54],[CS101],2025,CS minor
S0704,Christopher Patton,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2027,CS major
S0705,Raymond Pope,[CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0706,Joshua Frank,[CS140,CS51,CS62,CS101,CS54],[],2028,Non-major
S0707,Jon Cole,[CS101,CS54,CS51,CS62],[],2025,Non-major
S0708,Stefanie Aguilar,[CS51,CS62],[CS158,CS101],2025,Non-major
S0709,Gregory Tyler,[CS101,CS54,CS51,CS62],[CS138,CS105],2027,CS minor
S0710,Andrea Davidson,[CS101,CS54,CS51,CS62],[CS158,CS181AA],2025,CS minor
S0711,Ronald Mendez,[CS62,CS54,CS51,CS140],[],2027,CS minor
S0712,Carrie Cisneros,[CS54,CS51,CS62,CS105],[CS101,CS140],2026,CS major
S0713,Julie Mcfarland,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2028,CS minor
S0714,Emily Haley,[CS54,CS51,CS62,CS105],[CS181DV,CS105],2025,CS major
S0715,Jenny Harrison,[],[],2026,CS major
S0716,Dwayne Zavala,[],[],2028,Non-major
S0717,Brooke Nicholson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS138],2027,Non-major
S0718,Patricia Gregory,[CS140,CS51,CS62,CS105,CS54],[],2028,CS major
S0719,Michael Allen,[CS101,CS54,CS51,CS62],[CS140,CS122],2026,CS major
S0720,Maxwell Taylor,[CS51,CS62,CS105,CS101,CS54],[CS133],2025,CS minor
S0721,Jeremy Harris,[CS62,CS54,CS51,CS140],[CS181DV],2026,CS major
S0722,Melanie Small,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS133],2028,Non-major
S0723,Corey Lee,[CS54,CS51,CS62,CS105],[CS122,CS181DV],2025,CS major
S0724,Anthony Singleton,[CS140,CS51,CS62,CS105,CS54],[CS122,CS133],2026,CS major
S0725,Kelly Rogers,[CS62,CS54,CS51,CS140],[CS132,CS181AA],2026,Non-major
S0726,Wendy Massey,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS132],2028,CS major
S0727,William Simmons,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS140],2026,Non-major
S0728,Robert Hoover,[CS140,CS51,CS62,CS101,CS54],[CS132,CS133],2027,CS major
S0729,Jennifer Johnson,[],[CS181DV,CS105],2025,CS minor
S0730,Julie Green,[CS54,CS51],[CS158],2027,CS minor
S0731,Matthew Romero,[CS54,CS51],[CS138,CS105],2025,CS major
S0732,Karen Rich,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0733,Matthew Ruiz,[CS101,CS54,CS51,CS62],[CS132],2027,Non-major
S0734,Marie King,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2027,Non-major
S0735,Micheal Ruiz,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS140],2027,CS minor
S0736,Robert Christian,[],[CS153,CS133],2026,CS minor
S0737,Michael Adkins,[CS51,CS62],[CS181DV,CS101],2027,Non-major
S0738,Robert Villegas,[CS140,CS51,CS62,CS101,CS54],[CS138],2026,CS minor
S0739,Wendy Russell,[],[CS153,CS138],2027,CS minor
S0740,Robert Bell,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS158],2028,Non-major
S0741,Lisa Carpenter,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS105],2025,Non-major
S0742,Danielle Harrington,[CS54,CS51,CS62,CS105],[CS181DV,CS101],2025,CS major
S0743,Brian Gutierrez,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S0744,Michael Collins,[CS140,CS51,CS62,CS101,CS54],[CS140,CS105],2027,CS minor
S0745,Daniel Flores,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S0746,Kathy Hampton,[CS54,CS51,CS62,CS105],[],2026,CS minor
S0747,Joy Brooks,[CS140,CS51,CS62,CS101,CS54],[CS132,CS122],2028,CS major
S0748,Erica Anderson,[],[],2028,CS minor
S0749,Connor Nicholson,[CS54,CS51,CS62],[CS140,CS158],2028,CS major
S0750,Nathan Bridges,[CS140,CS51,CS62,CS105,CS54],[CS140,CS122],2026,CS minor
S0751,Robert Howard,[],[CS181AA,CS122],2028,Non-major
S0752,Melissa Jones,[CS140,CS51,CS62,CS105,CS54],[],2026,CS minor
S0753,Karen Payne,[],[CS181DV],2026,Non-major
S0754,Nicholas Martin,[],[],2028,CS major
S0755,Deborah Thompson,[CS54,CS51,CS62,CS105],[],2028,CS major
S0756,Mrs. Danielle Dean DVM,[CS140,CS51,CS62,CS101,CS54],[CS105,CS181DV],2025,Non-major
S0757,Timothy Santana,[CS51,CS62],[CS181AA,CS138],2028,CS major
S0758,Karen Clark,[CS54,CS51,CS62],[CS122,CS158],2025,Non-major
S0759,John Thomas,[],[CS138],2025,Non-major
S0760,Veronica Green,[CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S0761,Bailey Smith,[CS140,CS51,CS62,CS101,CS54],[CS133],2025,CS minor
S0762,Tracy Smith,[CS101,CS54,CS51,CS62],[CS181DV],2025,CS minor
S0763,Brady Mitchell,[CS140,CS51,CS62,CS101,CS54],[CS158],2028,CS major
S0764,James Church,[CS54,CS51],[],2027,CS minor
S0765,Debra Smith,[CS51,CS62,CS105,CS101,CS54],[CS153,CS181AA],2026,CS major
S0766,Calvin Johnson,[],[],2026,CS major
S0767,Jared Hodges,[CS140,CS51,CS62,CS101,CS54],[CS122,CS101],2028,CS major
S0768,Rachel Riddle,[CS54,CS51,CS62,CS105],[],2026,CS major
S0769,Angela Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS140],2027,CS major
S0770,Austin Wilson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S0771,Tyler Mooney,[CS51,CS62],[],2025,CS minor
S0772,Jason Armstrong,[CS101,CS54,CS51,CS62],[],2026,CS minor
S0773,Shawn Maldonado,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2027,CS major
S0774,Vincent Valencia,[CS140,CS51,CS62,CS101,CS54],[CS140],2027,CS minor
S0775,Levi Finley,[CS51],[CS153,CS133],2026,CS minor
S0776,Samuel Fisher,[CS51,CS62,CS105,CS101,CS54],[CS181AA,CS138],2027,CS major
S0777,Brian Contreras,[CS140,CS51,CS62,CS105,CS54],[CS140],2026,CS major
S0778,Julia Burns,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2028,CS minor
S0779,Logan Dennis,[CS54,CS51,CS62],[CS133,CS158],2028,Non-major
S0780,Debbie Mitchell,[],[CS181AA,CS181DV],2028,CS minor
S0781,Willie Clark,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2026,CS major
S0782,Andrew Lee,[CS51,CS62,CS105,CS101,CS54],[CS133,CS138],2025,Non-major
S0783,Megan Roach,[CS101,CS54,CS51,CS62],[],2025,Non-major
S0784,Frank Morgan,[CS62,CS54,CS51,CS140],[CS181DV,CS138],2026,CS major
S0785,Janice Wright,[],[CS153,CS181AA],2025,CS major
S0786,Ryan Morgan,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2027,Non-major
S0787,Jerry Caldwell,[],[],2027,CS major
S0788,Derrick Roberts,[CS54,CS51,CS62,CS140],[CS122,CS181AA],2027,CS minor
S0789,Crystal Brown,[CS51,CS62,CS105,CS101,CS54],[CS140,CS138],2028,CS minor
S0790,Mr. Patrick Rogers MD,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2025,Non-major
S0791,Hannah Lucero,[CS51,CS62],[],2026,CS minor
S0792,Stephanie Davis,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S0793,Joel Gomez,[],[CS133,CS181AA],2025,CS major
S0794,Stephanie Francis,[CS140,CS51,CS62,CS101,CS54],[],2028,CS major
S0795,Michael Espinoza,[],[CS140,CS153],2025,CS major
S0796,Keith Bruce,[CS140,CS51,CS62,CS101,CS54],[],2025,Non-major
S0797,Robert Estes,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS101],2025,CS major
S0798,Stephanie Tran,[CS140,CS51,CS62,CS105,CS54],[CS138],2026,CS major
S0799,Jack Galvan,[CS54,CS51],[CS181DV],2025,CS major
S0800,Stephen Morrow,[CS140,CS51,CS62,CS105,CS54],[],2025,CS major
S0801,Jason Wolf,[CS62,CS54,CS51,CS140],[CS181AA,CS105],2028,CS minor
S0802,Steven Galvan,[],[CS138,CS132],2028,CS minor
S0803,Ryan Morris,[CS62,CS54,CS51,CS140],[CS181DV],2028,CS minor
S0804,Rebecca Garcia,[],[CS181AA,CS158],2025,CS minor
S0805,Erin Day,[],[],2027,CS major
S0806,Angela Alvarez,[CS54,CS51,CS62],[CS101,CS181DV],2026,CS minor
S0807,Katelyn Mitchell,[CS54,CS140,CS51,CS62],[CS105],2026,Non-major
S0808,Christopher Newton,[],[CS101,CS158],2027,CS major
S0809,James Mosley,[],[CS101],2028,CS minor
S0810,Justin Kelly,[CS101,CS54,CS51,CS62],[],2025,CS major
S0811,Kim Mcgee,[CS101,CS54,CS51,CS62],[CS133,CS158],2025,CS major
S0812,John Norton,[CS51,CS62],[CS105,CS158],2025,CS major
S0813,Adrienne Cooke,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140,CS158],2028,CS minor
S0814,Paula Rice,[CS54,CS51,CS62,CS105],[CS158,CS153],2027,CS minor
S0815,Dennis Keith,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0816,Bonnie Perez,[CS140,CS51,CS62,CS105,CS54],[CS153],2027,CS major
S0817,David Sandoval,[CS101,CS54,CS51,CS62],[CS158,CS140],2028,CS minor
S0818,Patricia Black,[],[],2028,CS minor
S0819,Tiffany Velasquez,[CS140,CS51,CS62,CS101,CS54],[CS140,CS153],2028,CS minor
S0820,Frank Blake,[CS62,CS54,CS51,CS140],[],2028,CS minor
S0821,Luis Hunter,[CS62,CS54,CS51,CS140],[CS138],2028,Non-major
S0822,Manuel Simon,[],[],2027,CS minor
S0823,Holly Jackson,[CS51,CS62],[CS153],2027,CS minor
S0824,James Cole,[CS62,CS54,CS51,CS140],[],2027,CS minor
S0825,Todd Park,[CS101,CS54,CS51,CS62],[CS181DV,CS181AA],2026,CS minor
S0826,Rita West,[CS51,CS62,CS105,CS101,CS54],[CS140,CS181AA],2026,CS major
S0827,Benjamin Leonard Jr.,[],[],2025,CS minor
S0828,David Watts,[CS54,CS51,CS62,CS105],[CS133,CS138],2028,Non-major
S0829,Keith House,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133,CS122],2027,CS minor
S0830,Monique Norris,[CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S0831,Kristopher Morales,[CS62,CS54,CS51,CS140],[],2027,CS minor
S0832,Wesley Cisneros,[CS54,CS51],[],2027,CS major
S0833,Caitlin Fernandez,[],[CS133],2028,CS major
S0834,Christopher Miller,[CS51,CS62,CS105,CS101,CS54],[CS181DV,CS105],2027,CS minor
S0835,Christopher Carroll,[CS54,CS51],[],2027,CS major
S0836,Christopher Gray,[CS54,CS51,CS62,CS105],[CS181DV],2025,CS major
S0837,Lisa Arnold,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0838,Peggy Fischer,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS132],2025,Non-major
S0839,Christopher Mendez,[],[],2025,CS minor
S0840,Alan Phillips,[CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0841,Diane Shepard,[CS51],[CS153],2025,CS major
S0842,Kimberly Perkins,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA],2027,CS major
S0843,Stephen Mueller,[CS54,CS51,CS62,CS105],[CS153],2025,CS major
S0844,Peter Johnson,[CS54,CS140,CS51,CS62],[CS181DV,CS105],2028,CS major
S0845,Drew Travis,[CS51,CS62],[CS138,CS140],2025,CS major
S0846,Stacey Williams,[CS101,CS54,CS51,CS62],[CS105,CS122],2026,CS major
S0847,Kenneth Baker,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2028,CS minor
S0848,Jordan Cooper,[CS54,CS51,CS62,CS105],[CS181AA],2027,CS major
S0849,Mark Johns,[CS62,CS54,CS51,CS140],[CS105,CS132],2026,Non-major
S0850,Karen White,[CS140,CS51,CS62,CS101,CS54],[],2028,CS minor
S0851,Stephen Hatfield,[CS51,CS62],[CS153],2027,Non-major
S0852,Traci Long,[CS140,CS51,CS62,CS105,CS54],[CS101,CS105],2026,Non-major
S0853,Paula Hunt,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S0854,Shaun Wang,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2028,CS major
S0855,Marissa Dunlap,[],[CS181AA,CS181DV],2028,Non-major
S0856,Anthony Nguyen,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S0857,Donna Floyd,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0858,Christopher Webster,[CS51],[],2026,CS major
S0859,Stephanie Guzman,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0860,Jessica Castillo,[CS51,CS62],[],2026,CS minor
S0861,Kristin Thompson,[CS101,CS54,CS51,CS62],[CS133],2027,CS minor
S0862,Charles Bryant,[],[],2027,CS minor
S0863,Dennis Phillips,[CS101,CS54,CS51,CS62],[CS181AA,CS101],2025,CS major
S0864,Nathaniel Williams,[],[],2025,Non-major
S0865,Michael Mullen,[CS140,CS51,CS62,CS101,CS54],[CS133],2028,CS minor
S0866,Christopher Saunders,[CS140,CS51,CS62,CS105,CS54],[CS158,CS153],2028,Non-major
S0867,Michael Gomez,[],[],2025,CS minor
S0868,Charles Dixon Jr.,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0869,James Pena,[CS101,CS54,CS51,CS62],[],2025,Non-major
S0870,Stefanie Howard,[CS51],[CS122],2027,Non-major
S0871,Kathleen Townsend,[],[CS181DV,CS158],2027,CS major
S0872,Jessica Beck,[CS51,CS62,CS105,CS101,CS54],[CS138],2026,CS major
S0873,William Reed,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101,CS153],2025,Non-major
S0874,Dennis Hodge,[CS54,CS51,CS62,CS105],[CS140,CS153],2026,CS major
S0875,Elijah Lopez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS181AA],2026,CS major
S0876,Kendra Burch,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2027,CS major
S0877,Anita Adams,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2025,CS minor
S0878,Terry Williams,[CS54,CS51,CS62,CS105],[CS122,CS101],2027,Non-major
S0879,Candace Solis,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2026,CS major
S0880,Vincent Diaz,[CS54,CS51],[CS158,CS122],2025,CS major
S0881,Daniel Hamilton,[CS140,CS51,CS62,CS101,CS54],[CS181AA,CS133],2026,CS major
S0882,Christopher Ross,[CS54,CS51,CS62,CS105],[CS140],2025,CS minor
S0883,William Vaughn,[CS51,CS62,CS105,CS101,CS54],[CS101],2027,Non-major
S0884,Joshua Smith,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS122],2027,CS minor
S0885,Alicia Randall,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS181AA],2025,Non-major
S0886,Aaron Harper,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2027,CS major
S0887,Calvin Johnson,[],[CS181DV],2028,Non-major
S0888,Karen Harmon,[CS101,CS54,CS51,CS62],[CS140],2025,Non-major
S0889,Kristina Gonzalez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS122],2025,CS minor
S0890,Rachel Molina,[CS54,CS51],[CS122,CS153],2026,CS major
S0891,Jonathan Wood,[CS54,CS51,CS62,CS105],[CS101],2025,CS minor
S0892,Joshua Mullins,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2026,CS major
S0893,Carl Cox,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S0894,Jessica Jones,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0895,Russell Pena,[CS140,CS51,CS62,CS101,CS54],[],2027,CS major
S0896,John Murphy,[CS54,CS51,CS62],[],2028,CS major
S0897,Matthew Li,[CS54,CS51],[],2026,Non-major
S0898,Tiffany Brown,[CS51,CS62,CS105,CS101,CS54],[CS153,CS105],2025,CS major
S0899,Anthony Riley,[],[CS122,CS181AA],2025,CS major
S0900,Jonathan Moore,[CS54,CS51,CS62,CS105],[],2027,CS major
S0901,Sherri Moore,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S0902,Kimberly Price,[CS101,CS54,CS51,CS62],[CS101],2025,CS major
S0903,Charles Moore,[CS54,CS51,CS62,CS105],[CS101,CS105],2028,CS major
S0904,Laura Johnson,[CS101,CS54,CS51,CS62],[CS181DV,CS132],2026,Non-major
S0905,Sarah Walker,[CS54,CS51,CS62,CS105],[CS132,CS101],2028,Non-major
S0906,Phillip Lewis,[CS140,CS51,CS62,CS105,CS54],[CS132],2027,CS minor
S0907,Wendy Mccoy,[],[CS153],2026,CS major
S0908,Tara Williams,[CS140,CS51,CS62,CS101,CS54],[CS158,CS153],2025,CS major
S0909,Dominique Santiago,[CS140,CS51,CS62,CS101,CS54],[],2028,Non-major
S0910,Tony Murray,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS181DV],2028,Non-major
S0911,Charles Johnson,[CS101,CS54,CS51,CS62],[],2028,CS major
S0912,Michelle Rogers,[CS140,CS51,CS62,CS101,CS54],[],2026,Non-major
S0913,Matthew Parks,[CS51,CS62],[CS140],2027,CS major
S0914,Amanda Stewart,[CS140,CS51,CS62,CS101,CS54],[CS132],2028,CS minor
S0915,Timothy Flores,[CS54,CS51,CS62,CS105],[],2028,CS major
S0916,Michelle Allison,[],[CS122],2027,CS minor
S0917,Keith Hanson,[CS62,CS54,CS51,CS140],[CS181AA],2025,CS major
S0918,Danielle Warren,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2025,CS major
S0919,Adrian Roy,[CS62,CS54,CS51,CS140],[CS101,CS132],2025,CS minor
S0920,Dennis Smith,[CS51,CS62],[CS132],2026,CS major
S0921,David Adams,[CS54,CS51,CS62,CS105],[CS133,CS181DV],2028,Non-major
S0922,Scott Holloway,[CS101,CS54,CS51,CS62],[],2027,CS minor
S0923,Jeffrey Hanson,[],[],2028,CS minor
S0924,Angela Wilkinson,[CS101,CS54,CS51,CS62],[],2027,CS major
S0925,Kimberly Wagner,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS181AA],2026,CS major
S0926,Nicole Weiss,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2026,Non-major
S0927,Stephanie Evans,[CS51,CS62,CS105,CS101,CS54],[CS140],2025,CS major
S0928,Joshua Stewart,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0929,Krystal White,[CS54,CS51,CS62,CS105],[CS133],2025,Non-major
S0930,Stephen Singh,[CS51,CS62,CS105,CS101,CS54],[CS105],2028,CS major
S0931,Michael Bautista,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2026,CS major
S0932,Daniel Mcgrath,[],[CS181DV],2025,Non-major
S0933,Kevin Cline,[CS54,CS51,CS62,CS105],[CS138,CS140],2027,Non-major
S0934,Ashley Manning,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0935,Martha Harrison,[CS101,CS54,CS51,CS62],[],2027,CS minor
S0936,Bryan Arnold,[CS54,CS51,CS62,CS105],[CS153,CS138],2026,CS major
S0937,Shelby Benjamin,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0938,Claire Cunningham,[CS140,CS51,CS62,CS101,CS54],[CS105,CS132],2026,Non-major
S0939,Donna Jensen,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS133],2025,CS major
S0940,Andrew Pope,[CS54,CS51,CS62,CS105],[CS132],2028,Non-major
S0941,Nicholas Blackwell,[CS140,CS51,CS62,CS101,CS54],[CS132],2025,CS minor
S0942,Adam Morris,[CS62,CS54,CS51,CS140],[CS138,CS101],2028,Non-major
S0943,Micheal Martin,[CS62,CS54,CS51,CS140],[],2027,CS major
S0944,Brian Lara,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0945,William Smith,[CS54,CS51],[],2027,CS minor
S0946,Heather Davila,[CS51,CS62,CS105,CS101,CS54],[CS158,CS101],2025,Non-major
S0947,James Martinez,[CS54,CS51],[CS105,CS133],2028,CS minor
S0948,Patrick Walker,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2026,CS major
S0949,Samuel Campbell,[],[],2025,CS major
S0950,David Chen,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA],2026,Non-major
S0951,William Hawkins,[CS101,CS54,CS51,CS62],[CS181DV,CS138],2025,CS major
S0952,Linda Escobar,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2025,CS minor
S0953,Kathryn Duncan,[CS62,CS54,CS51,CS140],[CS133,CS181DV],2027,CS minor
S0954,Cameron Mitchell,[CS140,CS51,CS62,CS101,CS54],[CS158,CS153],2027,CS major
S0955,Jerry Williams,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0956,Michael Nguyen,[CS62,CS54,CS51,CS140],[CS138],2028,CS major
S0957,Scott Johnston,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2026,CS major
S0958,Samantha Brown,[CS140,CS51,CS62,CS101,CS54],[],2026,CS minor
S0959,Pamela Chung,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS140],2025,Non-major
S0960,Rebecca Molina,[CS54,CS51,CS62,CS105],[],2026,CS minor
S0961,Meagan Bauer,[CS54,CS51,CS62,CS140],[CS181DV,CS122],2028,CS minor
S0962,Joe Roth,[CS101,CS54,CS51,CS62],[CS122,CS181AA],2026,CS major
S0963,Timothy Rogers,[CS54,CS51,CS62,CS105],[CS133,CS140],2025,CS major
S0964,Andrew Smith,[CS140,CS51,CS62,CS101,CS54],[CS138,CS158],2028,CS major
S0965,Melissa Sanchez,[CS101,CS54,CS51,CS62],[],2027,Non-major
S0966,Ashley Thompson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122],2028,CS minor
S0967,Lisa Johnson,[CS101,CS54,CS51,CS62],[CS181AA,CS132],2028,CS minor
S0968,Kimberly Stanley,[CS140,CS51,CS62,CS101,CS54],[],2028,CS major
S0969,Regina James,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101],2028,CS minor
